question,correct_answer,options,category,time,difficulty
"17. An increase in which of the following would cause the aggregate demand curve to shift to the left?",Income taxes,"Consumer optimism;Population;Cost of resources;Income taxes;Net exports", Aggregate Demand,45,Medium
"19. Suppose that autonomous consumption is $400 and that the marginal propensity to consume is 0.8. If disposable income increases by $1,200, consumption spending will increase by",$960,"$1600;$1360;$1200;$960;$400", Consumption & MPC,60,Medium
"48. In a closed economy with only lump-sum taxation, if the marginal propensity to consume is equal to 0.75, a $70 billion increase in government spending could cause a maximum increase in output of",$280 billion,"$52.5 billion;$70 billion;$122.5 billion;$210 billion;$280 billion", Fiscal Policy & Multiplier,60,Medium
"49. Suppose that in an economy with lump-sum taxes and no international trade, autonomous investment spending increases by $2 million. If the marginal propensity to consume is 0.75, equilibrium gross domestic product will change by a maximum of",$8 million,"$0.5 million;$1.5 million;$2 million;$8 million;$150 million", Fiscal Policy Multiplier,60,Medium
"50. Assume that Jane's marginal propensity to consume equals 0.8. That in 2004 Jane spent $36,000 from her disposable income of $40,000. If her disposable income in 2005 increased to $60,000, her consumption spending increased by",$16000,"$4000;$8000;$9000;$10000;$16000", Consumption & MPC,60,Medium
"51. The government increases expenditures on goods and services and increases taxation by the same amount, which of the following will occur?",Aggregate demand will increase.,"Aggregate demand will be unchanged.;Aggregate demand will increase.;Interest rates will decrease.;The money supply will decrease.;The money supply will increase.", Fiscal Policy,45,Medium
"52. A high marginal propensity to consume implies which of the following?",A low marginal propensity to save,"A small change in consumption when income changes;A high savings rate;A high marginal tax rate;An equilibrium level of income near full employment;A low marginal propensity to save", Consumption & MPC,30,Easy
"53. Which of the following would cause the short-run aggregate supply curve to shift to the right?",A decrease in the expected price level,"An increase in the wage rate;An increase in the interest rate;An increase in the natural rate of unemployment;A decrease in the capital stock;A decrease in the expected price level", Aggregate Supply,45,Medium
"47. Which of the following would be the initial impact on an economy if wages were to increase more than worker productivity?",The short-run aggregate supply curve would shift to the left increasing the price level.,"There would be no impact since aggregate demand would exactly offset aggregate supply changes.;Employment and aggregate output would increase.;The price level would increase resulting in demand-pull inflation.;The short-run aggregate supply curve would shift to the left increasing the price level.;The aggregate demand curve would shift to the left increasing the price level.", Aggregate Supply,45,Medium
"30. An advance in technology will cause the:",Long-run aggregate supply curve to shift to the right.,"Aggregate demand curve to shift to the right.;Aggregate demand curve to shift to the left.;Short-run aggregate supply curve to shift to the right.;Long-run aggregate supply curve to shift to the right.;Long-run aggregate supply curve to shift to the left.", Aggregate Supply and Technology,30,Easy
"27. Stagflation is most likely to be caused by:",A decrease in aggregate supply.,"An increase in aggregate demand.;A decrease in aggregate demand.;An increase in aggregate supply.;A decrease in aggregate supply.;A large increase in the money supply.", Stagflation,30,Easy
"42. When firms restructure their operations to decrease production costs, what will most likely happen to aggregate supply, price level, and real output?",Shift to the right; Decrease; Increase,"Shift to the left; Increase; No change;Shift to the right; Increase; Increase;Shift to the right; Decrease; Increase;Shift to the right; Decrease; Decrease;Shift to the left; Decrease; Decrease", Aggregate Supply,45,Medium
"36. An increase in income taxes will most likely cause aggregate demand and aggregate supply to change in which of the following ways in the short run?",Aggregate Demand: Decrease; Aggregate Supply: Not change,"Aggregate Demand: Not change; Aggregate Supply: Not change;Aggregate Demand: Decrease; Aggregate Supply: Not change;Aggregate Demand: Increase; Aggregate Supply: Not change;Aggregate Demand: Not change; Aggregate Supply: Increase",Fiscal policy,45,Medium
"10. If a reduction in aggregate supply is followed by a decrease in aggregate demand, which of the following will definitely occur?",Output will decrease.,"Output will increase.;Output will decrease.;Output will not change.;The price level will decrease.;The price level will increase.", Aggregate Supply and Demand,45,Medium
"35. A simultaneous increase in inflation and unemployment could be explained by an increase in which of the following?",Inflationary expectations,"Consumer spending;The money supply;Labor productivity;Investment spending;Inflationary expectations", Inflation and Unemployment,45,Medium
"43. An economy is in a short-run equilibrium at a level of output that is less than full-employment output. If there were no fiscal or monetary policy interventions, which of the following changes in output and the price level would occur in the long run?",Output: Increase; Price Level: Decrease,"Output: Increase; Price Level: Decrease;Output: Increase; Price Level: Increase;Output: Decrease; Price Level: Decrease;Output: Decrease; Price Level: Increase;Output: No change; Price Level: New change", Long-Run Equilibrium,45,Hard
"7. An increase in which of the following is most likely to promote economic growth?",Investment tax credits,"Consumption spending;Investment tax credits;The natural rate of unemployment;The trade deficit;Real interest rates", Economic Growth,45,Medium
"39. An increase in which of the following would be most likely to increase long-run growth?",Subsidies to businesses for purchases of capital goods,"Pension payments;Unemployment compensations;Subsidies to businesses for purchases of capital goods;Tariffs on imported capital goods;Tariffs on imported oil", Long-Run Growth,45,Medium
"22. Which of the following are the most likely short-run effects of an increase in government expenditures?",Decrease;Increase;Increase,"Increase;Increase;Increase;Increase;Increase;Decrease;Decrease;Increase;Increase;Decrease;Decrease;Increase;No change;Decrease;Increase", Fiscal Policy,45,Medium
"4. An economy is in a short-run equilibrium at a level of output above full employment output. If there were no fiscal or monetary policy action taken, what changes in output and the price level would occur in the long run?",Output: Decrease; Price Level: Increase,"Output: Increase; Price Level: Increase;Output: Increase; Price Level: Decrease;Output: Decrease; Price Level: Increase;Output: Decrease; Price Level: Decrease;Output: Decrease; Price Level: No change", Long-Run Equilibrium,45,Hard
"10. An increase in which of the following would be most likely to cause demand-pull inflation?","There isn´t correct answer between the options.","Pension payments;Government regulations;Subsidies to businesses for purchases of capital goods;Tariffs on imported capital goods;Tariffs on imported oil",Demand-pull inflation,30,Medium
"11. Which of the following combinations of changes in government spending and taxes is necessarily expansionary?",Government Spending: Increase; Taxes: No change,"Government Spending: Increase; Taxes: Increase;Government Spending: Increase; Taxes: No change;Government Spending: Decrease; Taxes: Increase;Government Spending: Decrease; Taxes: Decrease", Fiscal policy,30,Medium
"21. With an upward-sloping aggregate supply curve, an increase in government purchases will cause which of the following?",Increase real gross domestic product.,"Reduce the price level.;Increase the potential gross domestic product.;Increase real gross domestic product.;Shift the short-run aggregate supply curve to the right.;Shift both the aggregate demand curve and the short-run aggregate supply curve to the left.", Aggregate demand and supply,30,Medium
